Time,Motor1 Pos,Opten1 PosX,Opten1 PosY,Motor2 Pos,Opten2 PosX,Opten2 PosY
0.032,0.0,0.002,-0.006,0.019,0.0,-0.004
0.161,0.0,0.002,-0.006,0.0,0.0,-0.004
0.273,0.0,0.002,-0.004,0.0,0.0,-0.004
0.385,0.0,0.002,-0.004,0.0,0.0,-0.004
0.497,0.0,0.002,-0.004,0.0,0.0,-0.004
0.608,0.0,0.002,-0.004,0.0,0.0,-0.004
0.72,0.0,0.002,-0.004,0.0,0.0,-0.004
0.849,0.0,0.002,-0.004,0.019,0.0,-0.004
0.96,0.0,0.002,-0.004,0.0,0.0,-0.004
1.2,-0.019,-0.08,0.008,3.886,-0.155,0.011
1.312,-0.019,-0.178,0.025,14.286,-8.221,0.07
1.44,-0.019,-0.197,0.015,25.81,-19.621,0.148
1.568,-0.019,-0.239,0.011,36.762,-31.248,0.186
1.696,-0.019,-0.256,0.013,37.886,-37.73,0.199
1.809,-0.019,-0.256,0.011,37.886,-37.744,0.201
1.92,-0.019,-0.256,0.011,37.886,-37.747,0.201
2.032,-0.019,-0.256,0.008,37.886,-37.747,0.201
2.162,-0.019,-0.256,0.008,37.886,-37.747,0.201
2.288,0.057,0.0,0.019,32.648,-37.575,0.197
2.417,0.057,0.163,0.017,20.667,-27.481,0.114
2.528,0.057,0.146,0.017,10.571,-16.963,0.076
2.64,0.057,0.138,0.004,1.124,-6.917,0.028
2.752,0.038,0.138,0.002,0.133,-0.385,-0.04
2.881,0.038,0.138,0.002,0.133,-0.334,-0.047
3.008,0.038,0.138,0.002,0.133,-0.334,-0.047
3.137,0.038,0.138,0.002,0.133,-0.334,-0.047
3.248,0.038,0.138,0.002,0.133,-0.334,-0.047
3.376,-0.019,-0.083,-0.002,6.552,-0.705,-0.021
3.504,-0.019,-0.152,0.036,18.267,-12.391,0.087
3.632,-0.019,-0.22,0.078,29.81,-23.787,0.148
3.744,-0.019,-0.235,0.061,37.657,-33.977,0.201
3.856,-0.019,-0.258,0.057,37.886,-37.816,0.226
3.969,-0.019,-0.26,0.061,37.886,-37.818,0.226
4.08,-0.019,-0.26,0.063,37.886,-37.818,0.226
4.208,-0.019,-0.26,0.063,37.886,-37.818,0.229
4.336,-0.019,-0.26,0.066,37.886,-37.818,0.229
4.448,0.076,0.0,0.072,32.362,-37.683,0.231
4.56,0.057,0.169,0.072,22.0,-28.38,0.129
4.671,0.057,0.142,0.076,12.133,-18.694,0.119
4.8,0.057,0.131,0.057,0.971,-6.473,0.044
4.93,0.038,0.133,0.057,0.133,-0.404,-0.011
