Time,Motor1 Pos,Opten1 PosX,Opten1 PosY,Motor2 Pos,Opten2 PosX,Opten2 PosY
0.032,0.0,-0.002,-0.002,0.0,0.0,0.0
0.161,0.0,-0.002,-0.002,0.0,0.0,0.0
0.288,0.0,-0.002,-0.002,0.0,0.0,0.0
0.416,0.0,-0.002,-0.002,0.0,0.0,0.0
0.528,0.0,-0.002,-0.002,0.0,0.0,0.0
0.64,0.0,-0.002,-0.002,0.0,0.0,0.0
0.752,0.0,-0.002,-0.002,0.0,0.0,0.0
0.864,0.0,-0.002,-0.002,0.0,0.0,0.0
0.977,0.0,-0.002,-0.002,0.0,0.0,0.0
1.216,-2.99,-0.165,-0.002,0.057,-0.243,-0.004
1.328,-14.381,-8.416,-0.085,0.057,-0.33,-0.019
1.44,-24.438,-18.682,-0.095,0.057,-0.328,-0.03
1.552,-34.419,-28.81,-0.112,0.057,-0.334,-0.021
1.68,-37.924,-37.628,-0.085,0.057,-0.343,-0.019
1.808,-37.943,-37.664,-0.083,0.057,-0.343,-0.019
1.936,-37.943,-37.664,-0.083,0.057,-0.343,-0.019
2.048,-37.943,-37.664,-0.083,0.057,-0.343,-0.019
2.16,-37.943,-37.666,-0.083,0.057,-0.343,-0.019
2.303,-35.714,-37.505,-0.083,-0.057,-0.21,-0.021
2.433,-24.381,-28.713,-0.068,-0.057,0.102,-0.034
2.544,-13.01,-18.381,-0.144,-0.057,0.095,-0.015
2.656,-2.971,-8.549,-0.152,-0.038,0.095,0.008
2.768,-0.133,-0.635,-0.055,-0.038,0.106,0.011
2.88,-0.133,-0.419,-0.049,-0.038,0.112,0.011
3.007,-0.133,-0.419,-0.049,-0.038,0.112,0.011
3.138,-0.133,-0.419,-0.049,-0.038,0.112,0.011
3.265,-0.133,-0.419,-0.049,-0.057,0.112,0.011
3.408,-3.467,-0.641,-0.051,0.038,-0.167,0.008
3.536,-15.619,-10.897,-0.097,0.038,-0.317,-0.015
3.648,-26.495,-21.046,-0.061,0.038,-0.317,-0.019
3.76,-35.943,-31.329,-0.195,0.038,-0.322,-0.011
3.888,-37.943,-38.064,-0.26,0.038,-0.33,-0.011
4.015,-37.943,-38.066,-0.26,0.038,-0.33,-0.011
4.144,-37.943,-38.066,-0.26,0.038,-0.33,-0.011
4.257,-37.943,-38.066,-0.26,0.038,-0.33,-0.011
4.367,-37.943,-38.066,-0.26,0.038,-0.33,-0.011
4.479,-35.81,-37.912,-0.256,-0.057,-0.224,-0.013
4.592,-25.638,-30.721,-0.218,-0.057,0.116,-0.021
4.719,-14.305,-18.874,-0.076,-0.057,0.11,-0.004
4.852,-3.105,-7.135,-0.021,-0.057,0.108,0.008
4.976,-0.133,-0.296,0.032,-0.057,0.123,0.017
5.088,-0.133,-0.284,0.034,-0.057,0.123,0.017
5.2,-0.133,-0.284,0.034,-0.057,0.123,0.017
5.312,-0.133,-0.284,0.034,-0.057,0.123,0.017
5.44,-0.133,-0.284,0.034,-0.057,0.123,0.017
5.568,-3.924,-0.472,0.034,0.038,-0.15,0.013
5.697,-15.162,-11.062,0.008,0.038,-0.324,-0.013
5.808,-26.648,-21.232,0.063,0.038,-0.322,-0.017
5.919,-36.267,-31.286,-0.044,0.038,-0.326,-0.008
6.031,-37.943,-37.912,-0.116,0.038,-0.334,-0.008
6.16,-37.943,-37.929,-0.119,0.038,-0.334,-0.008
6.288,-37.943,-37.929,-0.119,0.038,-0.334,-0.008
6.415,-37.943,-37.929,-0.119,0.038,-0.334,-0.008
6.592,-37.124,-37.901,-0.116,-0.057,-0.29,-0.008
6.704,-27.486,-32.84,-0.066,-0.057,0.114,-0.021
6.833,-16.076,-21.09,0.038,-0.057,0.106,-0.013
6.96,-4.895,-8.699,0.087,-0.057,0.106,0.008
7.071,-0.152,-0.555,0.129,-0.057,0.112,0.013
7.184,-0.152,-0.284,0.135,-0.057,0.123,0.013
7.295,-0.133,-0.284,0.135,-0.057,0.123,0.013
7.408,-0.152,-0.284,0.135,-0.057,0.123,0.013
7.536,-0.133,-0.284,0.135,-0.057,0.123,0.013
7.695,-2.381,-0.419,0.135,0.038,-0.053,0.011
7.808,-13.714,-8.062,0.102,0.038,-0.328,-0.015
7.92,-23.619,-18.673,0.034,0.019,-0.324,-0.025
8.032,-33.714,-28.338,-0.019,0.019,-0.328,-0.015
8.144,-37.924,-37.666,-0.064,0.019,-0.339,-0.013
8.256,-37.943,-38.079,-0.051,0.019,-0.339,-0.013
8.367,-37.943,-38.079,-0.051,0.019,-0.339,-0.013
8.479,-37.943,-38.079,-0.051,0.019,-0.339,-0.013
8.608,-37.943,-38.079,-0.051,0.019,-0.339,-0.013
8.767,-35.562,-37.909,-0.047,-0.057,-0.233,-0.015
8.895,-24.343,-29.113,0.057,-0.057,0.108,-0.028
9.007,-13.048,-18.354,0.138,-0.057,0.106,-0.013
9.12,-3.2,-8.172,0.231,-0.057,0.106,0.004
9.231,-0.152,-0.508,0.301,-0.057,0.114,0.006
9.343,-0.133,-0.322,0.301,-0.057,0.121,0.008
9.472,-0.133,-0.322,0.301,-0.057,0.121,0.008
9.599,-0.133,-0.322,0.301,-0.057,0.121,0.008
9.728,-0.133,-0.322,0.301,-0.057,0.121,0.008
9.839,-3.638,-0.444,0.298,0.038,-0.074,0.006
9.951,-13.543,-8.158,0.269,0.038,-0.33,-0.017
10.064,-23.524,-19.111,0.311,0.019,-0.322,-0.023
10.192,-34.59,-30.423,0.271,0.019,-0.326,-0.008
10.32,-37.943,-37.869,0.229,0.019,-0.337,-0.008
10.432,-37.943,-37.882,0.229,0.019,-0.337,-0.011
10.543,-37.943,-37.882,0.229,0.038,-0.337,-0.011
10.656,-37.943,-37.882,0.229,0.019,-0.337,-0.011
10.768,-37.943,-37.882,0.229,0.019,-0.337,-0.011
10.896,-35.829,-37.806,0.231,-0.057,-0.241,-0.013
11.023,-24.514,-29.151,0.311,-0.057,0.112,-0.025
11.151,-13.143,-17.594,0.398,-0.057,0.108,-0.011
11.264,-2.057,-7.027,0.419,-0.057,0.106,0.004
11.376,-0.152,-0.322,0.489,-0.057,0.123,0.008
11.488,-0.152,-0.237,0.493,-0.057,0.125,0.008
11.599,-0.152,-0.237,0.495,-0.057,0.125,0.008
11.728,-0.152,-0.237,0.495,-0.057,0.125,0.008
11.855,-0.152,-0.237,0.495,-0.057,0.127,0.008
11.983,-2.571,-0.381,0.495,0.038,-0.059,0.008
12.096,-13.638,-8.204,0.459,0.038,-0.332,-0.015
12.207,-23.619,-18.927,0.387,0.019,-0.328,-0.025
12.32,-33.619,-28.31,0.279,0.019,-0.332,-0.015
12.447,-37.943,-37.914,0.195,0.019,-0.339,-0.015
12.582,-37.943,-37.956,0.197,0.019,-0.339,-0.015
12.704,-37.943,-37.956,0.197,0.019,-0.339,-0.015
12.815,-37.943,-37.956,0.197,0.019,-0.339,-0.015
12.927,-37.943,-37.956,0.197,0.019,-0.341,-0.015
13.039,-35.752,-37.785,0.197,-0.057,-0.269,-0.015
13.167,-24.533,-29.278,0.309,-0.057,0.104,-0.03
13.279,-13.41,-18.951,0.377,-0.057,0.097,-0.015
13.391,-3.733,-9.021,0.396,-0.057,0.095,0.006
13.504,-0.152,-0.44,0.417,-0.057,0.108,0.015
13.615,-0.152,-0.152,0.421,-0.057,0.119,0.015
13.743,-0.152,-0.152,0.421,-0.057,0.119,0.015
13.872,-0.133,-0.152,0.421,-0.057,0.119,0.015
13.983,-0.133,-0.152,0.421,-0.057,0.119,0.015
14.111,-2.038,-0.235,0.421,0.038,-0.015,0.015
14.223,-12.095,-6.545,0.389,0.038,-0.334,-0.011
14.335,-22.305,-17.236,0.307,0.019,-0.33,-0.021
14.463,-33.41,-28.984,0.197,0.038,-0.334,-0.011
14.591,-37.943,-37.831,0.142,0.019,-0.345,-0.011
14.719,-37.943,-37.926,0.144,0.019,-0.345,-0.011
14.831,-37.943,-37.926,0.144,0.019,-0.345,-0.011
14.943,-37.943,-37.926,0.144,0.019,-0.345,-0.011
15.055,-37.943,-37.926,0.144,0.019,-0.345,-0.011
15.199,-35.848,-37.85,0.146,-0.057,-0.269,-0.011
15.327,-24.533,-29.851,0.214,-0.057,0.104,-0.023
15.455,-13.143,-18.231,0.303,-0.057,0.091,-0.008
15.567,-2.057,-7.592,0.394,-0.057,0.085,0.013
15.679,-0.152,-0.804,0.474,-0.057,0.11,0.015
15.791,-0.152,-0.762,0.478,-0.057,0.112,0.015
15.924,-0.152,-0.762,0.478,-0.057,0.112,0.015
16.047,-0.133,-0.762,0.478,-0.057,0.112,0.015
16.159,-0.152,-0.762,0.478,-0.057,0.112,0.015
16.271,-2.114,-0.857,0.476,0.038,-0.032,0.017
16.384,-12.267,-8.12,0.459,0.038,-0.343,-0.008
16.511,-23.6,-19.359,0.4,0.019,-0.337,-0.019
16.641,-34.724,-30.791,0.343,0.019,-0.341,-0.006
16.751,-37.943,-38.434,0.298,0.038,-0.345,-0.006
16.863,-37.943,-38.479,0.298,0.019,-0.345,-0.006
16.991,-37.943,-38.479,0.298,0.019,-0.345,-0.006
17.119,-37.943,-38.479,0.298,0.019,-0.345,-0.006
17.247,-37.943,-38.479,0.298,0.019,-0.345,-0.006
17.375,-35.848,-38.259,0.303,-0.057,-0.239,-0.008
17.487,-24.438,-30.704,0.387,-0.057,0.097,-0.021
17.616,-13.924,-18.593,0.455,-0.057,0.087,-0.008
17.727,-3.01,-8.384,0.519,-0.057,0.08,0.008
17.839,-0.152,-0.874,0.557,-0.057,0.102,0.011
17.951,-0.152,-0.713,0.563,-0.057,0.106,0.013
18.079,-0.152,-0.713,0.563,-0.057,0.106,0.013
18.207,-0.152,-0.711,0.563,-0.057,0.106,0.013
18.335,-0.152,-0.711,0.563,-0.057,0.106,0.013
18.446,-3.771,-0.84,0.563,0.038,-0.074,0.011
18.559,-13.886,-8.547,0.531,0.038,-0.341,-0.013
18.671,-24.019,-19.238,0.506,0.019,-0.332,-0.023
18.783,-33.943,-29.278,0.417,0.019,-0.334,-0.013
18.911,-37.924,-38.377,0.347,0.038,-0.343,-0.013
19.024,-37.943,-38.409,0.347,0.019,-0.343,-0.013
19.135,-37.943,-38.409,0.347,0.019,-0.343,-0.013
19.248,-37.943,-38.409,0.347,0.019,-0.343,-0.013
19.359,-37.943,-38.409,0.347,0.019,-0.343,-0.013
19.543,-35.81,-38.238,0.351,-0.057,-0.243,-0.013
19.663,-24.267,-29.589,0.43,-0.057,0.099,-0.03
19.791,-12.667,-17.757,0.497,-0.057,0.089,-0.013
19.903,-1.829,-7.334,0.574,-0.057,0.083,-0.0
20.015,-0.152,-0.694,0.675,-0.057,0.108,0.006
20.127,-0.152,-0.646,0.677,-0.057,0.108,0.006
20.255,-0.152,-0.646,0.677,-0.057,0.108,0.006
20.382,-0.152,-0.646,0.677,-0.057,0.108,0.006
20.495,-0.152,-0.646,0.677,-0.057,0.108,0.006
20.623,-2.59,-0.785,0.675,0.038,-0.091,-0.0
20.734,-13.752,-9.025,0.669,0.038,-0.349,-0.025
20.847,-23.79,-18.847,0.624,0.038,-0.343,-0.034
20.974,-35.048,-31.282,0.525,0.019,-0.345,-0.023
21.103,-37.943,-38.297,0.495,0.019,-0.353,-0.023
21.215,-37.943,-38.307,0.495,0.019,-0.353,-0.023
21.327,-37.943,-38.31,0.495,0.019,-0.353,-0.023
21.439,-37.943,-38.31,0.495,0.019,-0.353,-0.023
21.551,-37.943,-38.31,0.495,0.019,-0.353,-0.023
21.663,-37.067,-38.229,0.504,-0.057,-0.317,-0.023
21.775,-27.257,-32.607,0.574,-0.057,0.095,-0.038
21.903,-15.924,-21.061,0.675,-0.057,0.078,-0.034
22.031,-4.4,-9.049,0.785,-0.057,0.076,-0.017
22.159,-0.152,-0.591,0.821,-0.057,0.093,-0.013
