Time,Motor1 Pos,Opten1 PosX,Opten1 PosY,Motor2 Pos,Opten2 PosX,Opten2 PosY
0.032,0.0,0.0,-0.011,0.0,0.002,0.0
0.144,0.0,0.0,-0.013,0.0,0.002,0.0
0.272,0.0,0.0,-0.013,0.0,0.002,0.0
0.4,0.0,0.0,-0.011,0.0,0.002,0.0
0.512,0.0,0.0,-0.013,0.0,0.002,0.0
0.64,0.0,0.0,-0.013,0.0,0.002,0.0
0.771,0.0,0.0,-0.011,0.0,0.002,0.0
0.896,0.0,0.0,-0.011,0.0,0.002,0.0
1.009,0.0,0.0,-0.011,0.0,0.002,0.0
1.216,-1.905,-0.138,-0.004,0.038,-0.18,-0.002
1.343,-13.371,-9.165,-0.087,0.038,-0.303,-0.023
1.456,-24.629,-18.84,-0.129,0.038,-0.296,-0.03
1.568,-34.552,-29.587,-0.112,0.038,-0.303,-0.019
1.695,-37.943,-37.622,-0.051,0.038,-0.311,-0.019
1.814,-37.943,-37.656,-0.051,0.038,-0.311,-0.019
1.935,-37.943,-37.656,-0.051,0.038,-0.311,-0.019
2.064,-37.943,-37.656,-0.051,0.038,-0.311,-0.019
2.191,-37.943,-37.658,-0.051,0.038,-0.311,-0.019
2.303,-34.495,-37.465,-0.044,-0.076,-0.157,-0.023
2.432,-23.181,-28.2,0.019,-0.076,0.123,-0.034
2.559,-11.733,-15.987,-0.04,-0.076,0.119,-0.017
2.688,-1.086,-4.566,0.017,-0.076,0.114,-0.002
2.8,-0.152,-0.428,0.07,-0.076,0.125,-0.0
2.912,-0.152,-0.428,0.07,-0.076,0.125,-0.0
3.04,-0.152,-0.428,0.07,-0.076,0.125,-0.0
3.151,-0.152,-0.428,0.07,-0.076,0.125,-0.0
3.264,-0.152,-0.428,0.07,-0.076,0.125,-0.0
3.391,-5.143,-0.887,0.064,0.038,-0.284,-0.008
3.504,-16.305,-10.507,0.004,0.019,-0.301,-0.023
3.615,-26.324,-21.471,-0.049,0.019,-0.296,-0.03
3.728,-36.057,-31.519,-0.142,0.019,-0.296,-0.019
3.856,-37.943,-38.223,-0.157,0.019,-0.305,-0.019
3.967,-37.943,-38.223,-0.155,0.019,-0.305,-0.019
4.096,-37.943,-38.223,-0.155,0.019,-0.305,-0.019
4.223,-37.943,-38.223,-0.155,0.019,-0.307,-0.019
4.4,-37.048,-38.17,-0.15,-0.095,-0.275,-0.019
4.528,-26.0,-31.568,-0.087,-0.076,0.138,-0.028
4.656,-14.8,-19.387,0.017,-0.076,0.127,-0.019
4.768,-4.133,-9.159,0.053,-0.076,0.123,-0.0
4.88,-0.152,-1.23,0.108,-0.076,0.138,0.004
5.008,-0.152,-0.872,0.119,-0.076,0.142,0.004
5.135,-0.152,-0.872,0.119,-0.076,0.142,0.004
5.264,-0.152,-0.872,0.119,-0.076,0.142,0.004
5.376,-0.152,-0.872,0.119,-0.076,0.142,0.004
5.504,-2.305,-0.978,0.116,0.038,0.051,0.006
5.632,-13.486,-9.631,0.07,0.019,-0.307,-0.021
5.759,-24.933,-21.129,0.025,0.019,-0.303,-0.028
5.888,-36.305,-32.567,-0.04,0.019,-0.305,-0.015
6.0,-37.943,-38.659,-0.047,0.019,-0.309,-0.015
6.112,-37.943,-38.661,-0.047,0.019,-0.309,-0.015
6.223,-37.943,-38.661,-0.047,0.019,-0.309,-0.015
6.357,-37.943,-38.661,-0.047,0.019,-0.309,-0.015
6.48,-37.943,-38.661,-0.047,0.019,-0.311,-0.015
6.592,-34.514,-38.443,-0.042,-0.095,-0.195,-0.017
6.704,-24.667,-30.554,0.047,-0.076,0.131,-0.025
6.816,-14.4,-21.063,0.08,-0.076,0.119,-0.017
6.943,-3.2,-9.224,0.114,-0.076,0.114,0.002
7.056,-0.152,-1.452,0.199,-0.076,0.131,0.004
7.183,-0.152,-1.325,0.207,-0.076,0.138,0.006
7.296,-0.152,-1.325,0.207,-0.076,0.138,0.006
7.408,-0.152,-1.325,0.207,-0.076,0.135,0.006
7.519,-0.152,-1.325,0.207,-0.076,0.135,0.006
7.664,-3.657,-1.494,0.205,0.038,-0.066,0.004
7.791,-14.743,-11.591,0.152,0.019,-0.307,-0.021
7.903,-26.171,-21.611,0.123,0.019,-0.298,-0.025
8.015,-35.657,-31.972,0.023,0.019,-0.303,-0.015
8.143,-37.943,-39.133,-0.028,0.019,-0.307,-0.015
8.271,-37.943,-39.133,-0.028,0.019,-0.307,-0.015
8.383,-37.943,-39.135,-0.028,0.019,-0.307,-0.015
8.495,-37.943,-39.135,-0.028,0.019,-0.309,-0.015
8.607,-37.943,-39.135,-0.028,0.019,-0.309,-0.015
8.751,-35.848,-38.942,-0.028,-0.095,-0.193,-0.015
8.864,-24.476,-31.134,0.063,-0.095,0.142,-0.019
8.975,-14.743,-21.548,0.127,-0.076,0.131,-0.011
9.087,-4.724,-10.998,0.148,-0.076,0.127,0.008
9.199,-0.152,-1.871,0.226,-0.076,0.138,0.013
9.311,-0.152,-1.391,0.248,-0.076,0.15,0.013
9.423,-0.152,-1.391,0.252,-0.076,0.15,0.013
9.551,-0.152,-1.391,0.252,-0.076,0.15,0.013
9.664,-0.152,-1.391,0.252,-0.076,0.15,0.013
9.823,-2.305,-1.467,0.252,0.038,0.047,0.017
9.935,-12.21,-8.056,0.216,0.019,-0.296,-0.008
10.048,-22.495,-18.601,0.186,0.019,-0.288,-0.015
10.175,-33.619,-30.311,0.074,0.019,-0.292,-0.002
10.303,-37.943,-39.139,0.025,0.019,-0.298,-0.002
10.416,-37.943,-39.245,0.023,0.019,-0.298,-0.002
10.527,-37.943,-39.245,0.023,0.019,-0.301,-0.002
10.655,-37.943,-39.245,0.023,0.019,-0.301,-0.002
10.783,-37.943,-39.245,0.023,0.019,-0.301,-0.002
10.895,-35.486,-39.105,0.025,-0.095,-0.22,-0.002
11.008,-26.114,-32.764,0.091,-0.076,0.142,-0.008
11.136,-14.495,-21.107,0.155,-0.076,0.133,0.002
11.267,-3.467,-9.637,0.25,-0.076,0.129,0.017
11.376,-0.152,-2.131,0.341,-0.076,0.148,0.023
11.488,-0.152,-2.019,0.347,-0.076,0.155,0.023
11.6,-0.152,-2.019,0.347,-0.076,0.155,0.023
11.727,-0.152,-2.019,0.347,-0.076,0.155,0.023
11.855,-0.152,-2.019,0.347,-0.076,0.155,0.023
11.967,-2.305,-2.083,0.345,0.038,0.066,0.028
12.08,-12.21,-8.884,0.269,0.038,-0.303,-0.002
12.191,-22.229,-18.637,0.237,0.019,-0.296,-0.013
12.319,-33.314,-30.766,0.163,0.019,-0.294,-0.002
12.447,-37.943,-39.63,0.08,0.019,-0.303,0.0
12.559,-37.943,-39.736,0.08,0.019,-0.303,0.0
12.671,-37.943,-39.736,0.08,0.019,-0.303,0.0
12.783,-37.943,-39.736,0.08,0.019,-0.303,0.0
12.911,-37.943,-39.736,0.08,0.019,-0.303,0.0
13.077,-34.419,-39.453,0.085,-0.095,-0.072,-0.002
13.199,-23.067,-30.116,0.138,-0.076,0.133,-0.013
13.31,-12.019,-19.372,0.201,-0.076,0.131,0.002
13.423,-2.21,-9.131,0.252,-0.076,0.127,0.015
13.552,-0.152,-2.555,0.366,-0.076,0.152,0.019
13.663,-0.152,-2.548,0.368,-0.076,0.152,0.019
13.775,-0.152,-2.548,0.368,-0.076,0.152,0.019
13.903,-0.152,-2.548,0.368,-0.076,0.152,0.019
14.015,-0.152,-2.548,0.368,-0.076,0.152,0.019
14.126,-2.286,-2.627,0.37,0.038,0.04,0.023
14.239,-12.095,-9.423,0.353,0.019,-0.298,-0.002
14.367,-23.448,-21.571,0.337,0.019,-0.288,-0.013
14.495,-34.629,-32.675,0.205,0.019,-0.29,0.0
14.624,-37.943,-40.335,0.127,0.019,-0.298,0.0
14.751,-37.943,-40.344,0.138,0.019,-0.298,0.0
14.879,-37.943,-40.344,0.138,0.019,-0.298,0.0
14.991,-37.943,-40.344,0.138,0.019,-0.298,0.0
15.103,-37.943,-40.344,0.138,0.019,-0.301,0.0
15.232,-33.143,-39.814,0.144,-0.076,0.087,0.006
15.359,-21.543,-29.036,0.237,-0.076,0.131,-0.011
15.471,-10.267,-18.923,0.284,-0.076,0.127,0.006
15.583,-1.086,-8.079,0.364,-0.076,0.123,0.015
15.696,-0.152,-3.124,0.385,-0.076,0.148,0.021
15.823,-0.152,-3.118,0.385,-0.076,0.148,0.021
15.951,-0.152,-3.118,0.385,-0.076,0.148,0.021
16.063,-0.152,-3.118,0.385,-0.076,0.148,0.021
16.174,-0.152,-3.118,0.385,-0.076,0.148,0.021
16.286,-4.0,-3.294,0.383,0.038,-0.055,0.019
16.414,-15.162,-13.255,0.364,0.019,-0.298,-0.008
16.542,-26.819,-24.82,0.286,0.019,-0.29,-0.008
16.655,-37.086,-35.7,0.222,0.019,-0.292,-0.002
16.767,-37.943,-40.932,0.243,0.019,-0.301,-0.002
16.879,-37.943,-40.932,0.243,0.019,-0.301,-0.002
17.007,-37.943,-40.932,0.243,0.019,-0.301,-0.002
17.135,-37.943,-40.932,0.243,0.019,-0.301,-0.002
17.327,-35.752,-40.828,0.246,-0.095,-0.237,-0.002
17.439,-25.943,-34.267,0.298,-0.076,0.142,-0.006
17.568,-14.762,-22.659,0.423,-0.076,0.129,0.0
17.695,-3.657,-10.725,0.43,-0.076,0.125,0.017
17.807,-0.152,-3.279,0.451,-0.076,0.142,0.023
