Time,Motor1 Pos,Opten1 PosX,Opten1 PosY,Motor2 Pos,Opten2 PosX,Opten2 PosY
0.032,0.0,0.0,0.0,0.0,0.0,0.0
0.16,0.0,0.0,0.0,0.0,0.0,0.0
0.271,0.0,0.0,0.0,0.0,0.0,0.0
0.384,0.0,0.0,0.0,0.0,0.0,0.0
0.512,0.0,0.0,0.0,0.0,0.0,0.0
0.639,0.0,0.0,0.0,0.0,0.0,0.0
0.768,0.0,0.0,0.0,0.0,0.0,0.0
0.879,0.0,0.0,0.0,0.0,0.0,0.0
0.992,0.0,0.0,0.0,0.0,0.0,0.0
1.2,-2.114,-0.064,0.013,0.057,-0.11,0.013
1.327,-13.143,-8.704,-0.011,0.057,-0.21,-0.004
1.455,-24.381,-19.704,-0.083,0.057,-0.246,-0.013
1.567,-35.181,-28.16,-0.131,0.057,-0.26,-0.006
1.679,-37.829,-35.259,-0.104,0.057,-0.326,-0.008
1.808,-37.886,-35.177,-0.099,0.057,-0.241,-0.0
1.935,-37.905,-35.147,-0.097,0.057,-0.205,0.002
2.047,-37.943,-35.139,-0.093,0.057,-0.193,0.004
2.16,-37.943,-35.126,-0.093,0.057,-0.184,0.006
2.271,-35.771,-35.031,-0.093,-0.057,-0.099,0.006
2.384,-25.962,-28.685,-0.051,-0.057,0.271,-0.013
2.512,-14.667,-17.615,-0.049,-0.057,0.286,-0.015
2.639,-3.638,-6.602,0.047,-0.057,0.294,-0.013
2.767,-0.267,-0.754,0.119,-0.057,0.313,-0.017
2.88,-0.248,-0.732,0.116,-0.057,0.311,-0.017
2.991,-0.248,-0.732,0.116,-0.057,0.307,-0.017
3.104,-0.229,-0.732,0.116,-0.057,0.313,-0.017
3.215,-0.229,-0.732,0.116,-0.057,0.313,-0.017
3.327,-1.067,-0.764,0.129,0.038,0.252,-0.004
3.439,-11.067,-6.365,0.072,0.038,-0.121,-0.0
3.567,-22.61,-17.899,-0.021,0.038,-0.15,-0.006
3.695,-34.0,-29.231,-0.08,0.038,-0.165,-0.0
3.807,-37.886,-36.125,-0.144,0.038,-0.182,0.002
3.919,-37.886,-36.299,-0.146,0.038,-0.176,-0.0
4.031,-37.905,-36.299,-0.146,0.038,-0.169,-0.0
4.144,-37.905,-36.299,-0.146,0.038,-0.167,-0.0
4.255,-37.924,-36.299,-0.146,0.038,-0.167,-0.0
4.399,-37.067,-36.246,-0.14,-0.057,-0.127,-0.002
4.527,-25.905,-29.064,-0.097,-0.057,0.235,-0.008
4.639,-15.01,-18.741,-0.051,-0.057,0.256,-0.017
4.751,-5.371,-8.604,-0.002,-0.057,0.271,-0.006
4.863,-0.286,0.116,0.146,-0.057,0.284,-0.006
4.975,-0.19,0.4,0.155,-0.038,0.262,-0.002
5.103,-0.152,0.375,0.163,-0.019,0.25,0.008
5.232,-0.133,0.36,0.165,-0.019,0.237,0.013
5.344,-0.133,0.356,0.165,-0.019,0.233,0.013
5.487,-2.343,0.303,0.171,0.057,0.15,0.019
5.6,-12.248,-5.264,0.108,0.057,-0.125,0.004
5.727,-23.524,-16.883,0.036,0.057,-0.148,0.002
5.856,-35.029,-28.02,-0.057,0.057,-0.159,0.006
5.983,-37.867,-34.343,-0.095,0.057,-0.161,0.006
6.095,-37.905,-34.354,-0.108,0.057,-0.161,0.006
6.208,-37.905,-34.354,-0.11,0.057,-0.161,0.004
6.319,-37.905,-34.354,-0.11,0.057,-0.161,0.004
6.431,-37.924,-34.354,-0.11,0.057,-0.161,0.004
6.575,-35.829,-34.227,-0.099,-0.038,-0.032,0.011
6.688,-24.857,-27.055,-0.023,-0.057,0.218,-0.017
6.799,-15.124,-16.963,0.017,-0.057,0.233,-0.021
6.911,-5.733,-6.826,0.066,-0.057,0.258,-0.011
7.039,-0.248,2.453,0.235,-0.038,0.262,-0.008
7.151,-0.171,2.496,0.252,-0.038,0.241,-0.002
7.263,-0.133,2.476,0.256,-0.019,0.229,0.004
7.376,-0.133,2.472,0.258,0.0,0.226,0.006
7.487,-0.114,2.47,0.258,-0.019,0.226,0.006
7.663,-2.229,2.405,0.269,0.057,0.142,0.021
7.791,-13.676,-4.691,0.184,0.057,-0.119,0.011
7.904,-24.876,-15.337,0.121,0.057,-0.15,-0.0
8.015,-34.686,-25.114,0.013,0.057,-0.161,0.004
8.128,-37.867,-31.896,-0.087,0.057,-0.169,0.006
8.239,-37.905,-32.129,-0.093,0.057,-0.169,0.004
8.368,-37.905,-32.125,-0.093,0.057,-0.169,0.004
8.495,-37.905,-32.123,-0.093,0.057,-0.169,0.002
8.608,-37.924,-32.123,-0.093,0.057,-0.169,0.002
8.719,-35.81,-32.04,-0.091,-0.057,-0.093,-0.0
8.831,-25.924,-25.07,0.008,-0.057,0.207,-0.017
8.959,-14.857,-13.642,0.07,-0.057,0.226,-0.019
9.087,-3.79,-2.096,0.188,-0.057,0.26,-0.013
9.199,-0.229,4.396,0.25,-0.038,0.256,-0.006
9.311,-0.152,4.371,0.262,-0.019,0.239,0.008
9.424,-0.133,4.352,0.269,0.0,0.218,0.011
9.535,-0.133,4.348,0.273,-0.019,0.216,0.011
9.647,-0.114,4.343,0.273,-0.019,0.205,0.011
9.791,-2.21,4.274,0.284,0.057,0.104,0.019
9.919,-13.733,-2.388,0.184,0.038,-0.119,0.011
10.047,-24.952,-14.757,0.085,0.038,-0.135,0.004
10.159,-36.267,-24.519,0.011,0.057,-0.163,0.004
10.272,-37.886,-29.718,-0.072,0.057,-0.167,-0.0
10.383,-37.905,-29.743,-0.07,0.057,-0.167,-0.0
10.495,-37.905,-29.741,-0.07,0.057,-0.165,-0.0
10.623,-37.905,-29.741,-0.07,0.057,-0.163,-0.0
10.751,-37.905,-29.741,-0.07,0.057,-0.161,-0.0
10.863,-34.457,-29.563,-0.057,-0.057,-0.063,-0.0
10.975,-24.229,-21.939,0.032,-0.057,0.229,-0.015
11.087,-14.495,-11.176,0.083,-0.038,0.243,-0.008
11.198,-4.857,-1.738,0.176,-0.057,0.279,-0.006
11.311,-0.248,6.342,0.256,-0.038,0.288,-0.004
11.438,-0.171,6.441,0.275,-0.038,0.269,0.004
11.551,-0.152,6.42,0.288,-0.019,0.254,0.011
11.663,-0.133,6.409,0.29,0.0,0.241,0.013
11.775,-0.133,6.407,0.29,0.0,0.241,0.013
11.919,-1.962,6.339,0.301,0.057,0.142,0.023
12.047,-13.733,-0.929,0.229,0.038,-0.102,0.015
12.174,-24.971,-12.857,0.102,0.038,-0.125,0.011
12.287,-36.076,-22.682,0.019,0.038,-0.159,0.008
12.399,-37.924,-28.721,-0.066,0.038,-0.133,0.004
12.511,-37.962,-28.691,-0.072,0.019,-0.11,0.004
12.623,-38.0,-28.655,-0.068,0.019,-0.085,0.006
12.751,-38.038,-28.653,-0.068,0.019,-0.083,0.004
12.863,-38.076,-28.649,-0.07,0.0,-0.072,0.002
13.023,-34.743,-28.499,-0.064,-0.057,0.061,0.006
13.151,-23.695,-19.037,-0.03,-0.057,0.243,-0.011
13.279,-12.305,-7.18,0.002,-0.057,0.267,-0.004
13.391,-1.524,2.46,0.102,-0.057,0.296,-0.008
13.503,-0.286,6.411,0.14,-0.057,0.328,-0.021
13.615,-0.267,6.413,0.152,-0.057,0.328,-0.021
13.743,-0.248,6.413,0.152,-0.057,0.326,-0.021
13.871,-0.248,6.413,0.152,-0.057,0.324,-0.021
13.982,-0.229,6.413,0.155,-0.057,0.324,-0.021
14.095,-2.324,6.358,0.174,0.038,0.258,0.008
14.207,-12.21,-0.095,0.104,0.038,-0.102,0.021
14.318,-22.438,-10.287,0.008,0.038,-0.112,0.013
14.431,-32.533,-20.007,-0.036,0.038,-0.116,0.019
14.559,-37.886,-28.526,-0.116,0.038,-0.131,0.028
14.687,-37.886,-28.873,-0.135,0.038,-0.131,0.023
