Time,Motor1 Apos,Opten1 PosX,Opten1 PosY,Motor2 Apos,Opten2 PosX,Opten2 PosY
0.066,0.0,0.03,0.017,0.02,0.017,-0.006
0.126,0.0,0.03,0.019,0.02,0.019,-0.008
0.19,0.0,0.04,0.019,0.02,0.021,-0.011
0.25,0.0,0.042,0.019,0.02,0.021,-0.011
0.312,0.0,0.04,0.017,0.02,0.021,-0.013
0.375,0.02,0.025,0.013,0.02,0.011,-0.013
0.439,0.02,0.021,0.021,0.02,0.006,-0.008
0.503,0.02,0.021,0.021,0.02,0.006,-0.008
0.566,0.02,0.03,0.023,0.02,0.017,-0.008
0.628,0.02,0.044,0.021,0.02,0.021,-0.011
0.687,0.02,0.044,0.019,0.02,0.023,-0.015
0.75,0.02,0.044,0.019,0.02,0.023,-0.015
0.813,0.02,0.047,0.015,0.02,0.025,-0.017
0.874,0.02,0.055,0.013,0.02,0.034,-0.017
0.937,0.02,0.074,0.013,0.02,0.051,-0.019
0.999,0.0,0.061,0.011,0.02,0.036,-0.019
1.062,0.0,0.051,0.011,0.02,0.032,-0.019
1.125,0.0,0.047,0.015,0.02,0.025,-0.019
1.188,0.02,0.044,0.015,0.02,0.023,-0.017
1.25,0.02,0.036,0.013,0.02,0.017,-0.013
1.314,0.02,0.036,0.013,0.02,0.008,-0.017
1.374,0.02,0.036,0.013,0.0,0.008,-0.015
1.44,0.02,0.036,0.013,0.0,0.006,-0.015
1.502,0.02,0.036,0.013,0.0,0.006,-0.013
1.564,0.02,0.036,0.013,0.0,0.006,-0.013
1.628,0.02,0.036,0.013,0.0,0.006,-0.013
1.689,0.0,0.036,0.013,0.02,0.006,-0.013
1.749,0.0,0.036,0.013,0.02,0.006,-0.013
1.822,0.02,0.036,0.013,0.02,0.004,-0.013
1.874,0.02,0.036,0.013,0.02,0.004,-0.013
1.937,0.02,0.036,0.013,0.02,0.004,-0.013
2.0,0.02,0.036,0.013,0.02,0.004,-0.013
2.064,0.02,0.036,0.013,0.02,0.004,-0.013
2.126,0.02,0.036,0.013,0.02,0.004,-0.013
2.19,0.02,0.036,0.013,0.02,0.004,-0.013
2.252,0.02,0.036,0.013,0.02,0.004,-0.013
2.314,0.02,0.036,0.013,0.02,0.004,-0.013
2.377,0.02,0.036,0.013,0.02,0.004,-0.013
2.441,0.02,0.036,0.013,0.02,0.004,-0.013
2.505,0.02,0.036,0.013,0.02,0.004,-0.013
2.569,0.02,0.036,0.013,0.02,0.004,-0.013
2.631,0.02,0.036,0.013,0.02,0.004,-0.013
2.695,0.02,0.036,0.013,0.02,0.004,-0.013
2.75,0.02,0.036,0.013,0.02,0.004,-0.013
2.814,0.02,0.036,0.013,0.02,0.004,-0.013
2.884,0.02,0.036,0.013,0.02,0.004,-0.013
2.942,0.02,0.036,0.013,0.02,0.004,-0.013
3.008,0.02,0.036,0.013,0.02,0.004,-0.013
3.07,0.02,0.036,0.013,0.02,0.004,-0.013
3.134,0.02,0.036,0.013,0.02,0.004,-0.013
3.197,0.02,0.036,0.013,0.02,0.004,-0.013
3.261,0.02,0.036,0.013,0.02,0.004,-0.013
3.325,0.02,0.036,0.013,0.02,0.004,-0.013
3.373,0.02,0.036,0.013,0.02,0.004,-0.013
3.437,0.02,0.036,0.013,0.02,0.004,-0.013
3.499,0.02,0.036,0.013,0.02,0.004,-0.013
3.562,0.02,0.036,0.013,0.02,0.004,-0.013
3.624,0.02,0.036,0.013,0.02,0.004,-0.013
3.688,0.02,0.036,0.013,0.02,0.004,-0.013
3.751,0.0,0.036,0.013,0.02,0.004,-0.013
3.814,0.0,0.036,0.013,0.02,0.004,-0.013
3.877,0.02,0.036,0.013,0.02,0.004,-0.013
3.939,0.02,0.036,0.013,0.02,0.004,-0.013
4.003,0.02,0.036,0.013,0.02,0.004,-0.013
4.062,0.02,0.036,0.013,0.02,0.004,-0.013
4.124,0.02,0.036,0.013,0.02,0.004,-0.013
4.186,0.02,0.036,0.013,0.02,0.004,-0.013
4.248,0.02,0.036,0.013,0.0,0.004,-0.013
4.312,0.02,0.036,0.013,0.0,0.004,-0.013
4.376,0.02,0.036,0.013,0.0,0.004,-0.013
4.44,0.02,0.036,0.013,0.02,0.004,-0.013
4.502,0.02,0.036,0.013,0.02,0.004,-0.013
4.562,0.02,0.036,0.013,0.02,0.004,-0.013
4.625,0.02,0.036,0.013,0.02,0.004,-0.013
4.686,0.02,0.036,0.013,0.0,0.004,-0.013
4.749,0.02,0.036,0.013,0.0,0.004,-0.013
4.81,0.02,0.036,0.013,0.0,0.004,-0.013
4.878,0.02,0.036,0.013,0.02,0.004,-0.013
4.949,0.02,0.036,0.013,0.02,0.004,-0.013
5.006,0.02,0.036,0.013,0.02,0.004,-0.013
5.061,0.02,0.036,0.013,0.02,0.004,-0.013
