Time,Motor1 Pos,Opten1 PosX,Opten1 PosY,Motor2 Pos,Opten2 PosX,Opten2 PosY
0.032,0.0,0.0,0.0,0.0,0.011,-0.002
0.128,0.0,0.0,0.0,0.0,0.011,-0.002
0.223,0.0,0.0,0.0,0.0,0.011,-0.002
0.305,0.0,0.0,0.0,0.0,0.011,-0.002
0.387,0.0,0.0,0.0,0.0,0.011,-0.002
0.48,0.0,0.0,0.0,0.0,0.011,-0.002
0.56,0.0,0.0,0.0,0.0,0.011,-0.002
0.64,0.0,0.0,0.0,0.0,0.011,-0.002
0.736,0.0,0.0,0.0,0.0,0.011,-0.002
0.831,0.0,0.0,0.0,0.0,0.011,-0.002
0.927,0.0,0.0,0.0,0.0,0.011,-0.002
1.025,0.0,0.0,0.0,0.0,0.011,-0.002
1.119,-0.076,0.0,0.0,0.114,-0.015,-0.002
1.2,-0.705,-0.032,0.006,0.819,-0.193,-0.002
1.296,-1.771,-0.673,-0.028,2.038,-1.219,0.002
1.375,-3.029,-1.507,0.004,3.143,-1.907,0.013
1.471,-4.343,-2.559,-0.038,4.59,-3.258,0.013
1.567,-5.81,-3.975,-0.032,6.0,-4.301,0.034
1.648,-7.105,-5.158,-0.025,7.2,-4.735,0.038
1.728,-8.152,-6.411,-0.087,8.343,-6.113,0.11
1.809,-9.352,-7.288,-0.087,9.524,-6.911,0.114
1.904,-10.705,-8.689,-0.114,10.895,-7.863,0.138
2.0,-12.095,-9.61,-0.224,12.343,-9.142,0.146
2.096,-13.486,-10.539,-0.298,13.752,-10.092,0.15
2.192,-14.914,-11.896,-0.343,15.162,-11.119,0.165
2.287,-16.267,-13.358,-0.421,16.61,-12.48,0.159
2.367,-17.695,-14.417,-0.449,17.752,-13.384,0.165
2.448,-18.857,-15.399,-0.495,18.933,-13.938,0.163
2.528,-20.038,-16.411,-0.502,20.095,-15.134,0.152
2.608,-21.181,-17.215,-0.495,21.314,-16.44,0.161
2.704,-22.552,-18.502,-0.497,22.724,-17.835,0.174
2.8,-23.943,-19.973,-0.523,24.171,-19.194,0.19
2.895,-25.333,-21.34,-0.538,25.619,-20.673,0.199
2.993,-26.762,-22.83,-0.584,27.048,-22.037,0.222
3.088,-28.248,-24.151,-0.616,28.495,-23.491,0.233
3.168,-29.581,-25.343,-0.58,29.619,-24.638,0.233
3.248,-30.171,-26.34,-0.483,30.171,-25.684,0.25
3.327,-30.343,-26.844,-0.43,30.381,-26.132,0.256
3.408,-30.476,-27.013,-0.387,30.514,-26.278,0.258
3.503,-30.571,-27.163,-0.377,30.59,-26.444,0.26
3.599,-30.571,-27.195,-0.381,30.59,-26.463,0.26
3.695,-30.571,-27.193,-0.37,30.59,-26.463,0.26
3.792,-30.571,-27.193,-0.37,30.59,-26.463,0.26
3.872,-30.571,-27.193,-0.37,30.59,-26.463,0.26
3.951,-30.571,-27.193,-0.37,30.59,-26.463,0.26
4.047,-30.571,-27.191,-0.373,30.59,-26.463,0.26
4.144,-30.571,-27.191,-0.373,30.59,-26.463,0.26
4.256,-30.495,-27.17,-0.377,30.438,-26.441,0.26
4.351,-29.676,-26.82,-0.36,29.467,-26.084,0.262
4.447,-28.457,-25.783,-0.385,28.152,-24.97,0.256
4.544,-26.99,-24.356,-0.485,26.8,-23.641,0.229
4.624,-25.638,-23.279,-0.449,25.638,-22.43,0.22
4.703,-24.457,-22.623,-0.476,24.457,-21.251,0.186
4.799,-23.105,-21.319,-0.453,23.048,-19.732,0.178
4.895,-21.733,-19.816,-0.43,21.619,-18.352,0.163
4.991,-20.343,-18.464,-0.428,20.171,-16.923,0.138
5.072,-18.952,-17.52,-0.421,18.99,-15.655,0.133
5.151,-17.752,-16.436,-0.43,17.81,-14.467,0.123
5.231,-16.629,-15.441,-0.438,16.629,-13.415,0.114
5.312,-15.505,-14.315,-0.394,15.467,-12.357,0.093
5.407,-14.095,-13.356,-0.409,14.057,-11.443,0.097
5.504,-12.686,-11.955,-0.33,12.629,-10.289,0.099
5.6,-11.314,-10.867,-0.339,11.219,-9.049,0.099
5.68,-9.943,-10.065,-0.256,10.038,-8.361,0.097
5.76,-8.743,-9.161,-0.294,8.895,-7.387,0.08
5.839,-7.638,-7.908,-0.294,7.695,-6.473,0.061
5.92,-6.438,-6.845,-0.26,6.533,-5.726,0.057
5.999,-5.295,-5.715,-0.201,5.352,-4.464,0.03
6.111,-3.733,-4.263,-0.193,3.771,-3.319,0.025
6.207,-3.105,-3.15,-0.197,3.181,-2.775,-0.0
6.304,-2.876,-2.807,-0.182,2.99,-2.415,-0.0
6.384,-2.8,-2.646,-0.159,2.857,-2.258,-0.002
6.463,-2.8,-2.54,-0.169,2.838,-2.153,0.002
6.544,-2.8,-2.54,-0.169,2.838,-2.153,0.002
6.624,-2.8,-2.54,-0.169,2.838,-2.153,0.002
6.719,-2.8,-2.54,-0.169,2.838,-2.153,0.002
6.816,-2.8,-2.54,-0.169,2.838,-2.153,0.002
6.911,-2.8,-2.54,-0.169,2.838,-2.153,0.002
6.991,-2.8,-2.544,-0.174,2.838,-2.153,0.002
7.071,-2.8,-2.544,-0.176,2.838,-2.153,0.002
7.2,-2.876,-2.557,-0.167,2.971,-2.189,0.006
7.296,-3.695,-2.881,-0.188,3.943,-2.561,-0.0
7.392,-4.971,-3.941,-0.201,5.276,-3.15,0.002
7.487,-6.286,-5.264,-0.138,6.629,-4.346,0.015
7.567,-7.657,-6.39,-0.182,7.79,-5.184,0.025
7.648,-8.781,-7.658,-0.25,8.952,-5.884,0.04
7.728,-9.924,-8.473,-0.288,10.133,-7.112,0.049
7.823,-11.295,-9.466,-0.326,11.505,-7.764,0.04
7.919,-12.686,-10.765,-0.468,12.933,-8.683,0.059
8.015,-14.114,-11.413,-0.461,14.305,-10.02,0.068
8.111,-15.505,-12.95,-0.51,15.733,-11.026,0.07
8.191,-16.838,-13.854,-0.559,16.914,-11.8,0.072
8.271,-17.962,-14.685,-0.667,18.114,-12.971,0.066
8.352,-19.143,-15.43,-0.665,19.295,-13.644,0.07
8.448,-20.552,-16.853,-0.673,20.724,-15.066,0.076
8.543,-21.943,-18.102,-0.705,22.114,-16.578,0.063
8.639,-23.333,-19.537,-0.711,23.581,-17.96,0.074
8.735,-24.705,-20.93,-0.734,24.99,-19.431,0.08
8.815,-26.076,-22.087,-0.747,26.19,-20.566,0.083
8.896,-27.238,-23.169,-0.768,27.371,-21.74,0.119
8.975,-28.476,-24.356,-0.785,28.59,-22.928,0.123
9.055,-29.6,-25.451,-0.781,29.733,-24.128,0.127
9.135,-30.781,-26.621,-0.72,30.952,-25.226,0.142
9.263,-32.571,-28.539,-0.783,32.8,-27.14,0.135
9.366,-33.219,-29.739,-0.768,33.352,-28.27,0.142
9.456,-33.39,-30.067,-0.785,33.524,-28.579,0.14
9.535,-33.543,-30.188,-0.785,33.619,-28.723,0.127
9.615,-33.581,-30.285,-0.775,33.638,-28.808,0.125
9.696,-33.581,-30.313,-0.775,33.638,-28.844,0.127
9.791,-33.581,-30.315,-0.775,33.638,-28.848,0.127
9.887,-33.581,-30.315,-0.775,33.638,-28.846,0.127
9.983,-33.6,-30.315,-0.775,33.638,-28.846,0.127
10.063,-33.581,-30.315,-0.775,33.638,-28.848,0.127
10.146,-33.6,-30.317,-0.775,33.638,-28.846,0.127
10.24,-33.6,-30.317,-0.775,33.638,-28.846,0.127
10.351,-33.505,-30.3,-0.768,33.505,-28.827,0.127
10.447,-32.667,-29.966,-0.762,32.533,-28.41,0.142
10.543,-31.467,-28.895,-0.76,31.257,-27.354,0.131
10.639,-30.095,-27.553,-0.734,29.905,-25.984,0.14
10.735,-28.743,-26.253,-0.732,28.476,-24.519,0.116
10.816,-27.276,-25.066,-0.747,27.295,-23.391,0.108
10.895,-26.114,-23.876,-0.777,26.152,-22.195,0.083
10.975,-24.971,-22.741,-0.76,24.952,-21.04,0.059
11.071,-23.543,-21.838,-0.739,23.562,-19.514,0.042
11.167,-22.229,-20.367,-0.699,22.095,-18.121,0.03
11.263,-20.8,-19.05,-0.694,20.705,-16.629,0.015
11.359,-19.429,-17.681,-0.692,19.257,-15.179,-0.006
11.439,-17.981,-16.69,-0.69,18.095,-14.008,-0.013
11.519,-16.838,-15.636,-0.696,16.914,-12.768,-0.013
11.599,-15.733,-14.715,-0.627,15.714,-11.951,-0.025
11.695,-14.362,-13.856,-0.612,14.248,-10.823,-0.036
11.791,-12.971,-12.366,-0.603,12.857,-9.385,-0.013
11.887,-11.543,-10.947,-0.595,11.467,-8.393,-0.023
11.983,-10.171,-10.266,-0.529,10.038,-7.548,-0.023
12.064,-8.762,-9.413,-0.536,8.895,-6.574,-0.036
12.207,-6.724,-7.374,-0.474,6.838,-5.122,-0.049
12.287,-6.133,-6.382,-0.428,6.324,-4.35,-0.089
12.383,-5.924,-5.935,-0.396,6.114,-3.852,-0.106
12.479,-5.79,-5.88,-0.377,5.981,-3.666,-0.106
12.575,-5.79,-5.87,-0.375,5.924,-3.558,-0.102
12.655,-5.79,-5.87,-0.375,5.924,-3.552,-0.104
12.735,-5.79,-5.87,-0.375,5.924,-3.552,-0.104
12.815,-5.79,-5.87,-0.375,5.924,-3.552,-0.104
12.895,-5.79,-5.87,-0.375,5.924,-3.552,-0.104
12.975,-5.79,-5.87,-0.375,5.924,-3.552,-0.104
13.055,-5.79,-5.87,-0.375,5.924,-3.552,-0.104
13.151,-5.79,-5.87,-0.375,5.924,-3.552,-0.104
13.296,-5.848,-5.88,-0.375,6.095,-3.575,-0.099
13.376,-6.648,-5.999,-0.379,6.876,-3.84,-0.099
13.455,-7.676,-6.945,-0.436,7.905,-4.811,-0.061
13.535,-8.762,-8.005,-0.461,9.067,-5.671,-0.057
13.615,-9.886,-9.176,-0.54,10.171,-6.9,-0.072
13.711,-11.257,-10.501,-0.54,11.543,-7.55,-0.07
13.807,-12.629,-11.849,-0.688,12.952,-8.363,-0.055
13.903,-14.076,-12.907,-0.618,14.381,-9.701,-0.047
13.999,-15.448,-14.307,-0.724,15.81,-10.839,-0.055
14.078,-16.857,-15.223,-0.749,16.971,-11.608,-0.059
14.158,-17.943,-15.877,-0.838,18.152,-12.842,-0.068
14.239,-19.143,-16.796,-0.828,19.295,-13.509,-0.066
14.32,-20.343,-17.935,-0.872,20.495,-14.726,-0.076
14.415,-21.695,-19.361,-0.876,21.924,-16.199,-0.076
14.511,-23.124,-20.716,-0.883,23.352,-17.63,-0.061
14.607,-24.533,-22.206,-0.902,24.781,-18.991,-0.057
14.703,-25.905,-23.542,-0.914,26.248,-20.485,-0.047
14.799,-27.352,-24.945,-0.931,27.657,-21.831,-0.025
14.879,-28.762,-26.128,-0.929,28.857,-23.019,-0.015
14.959,-29.886,-27.254,-0.91,30.076,-24.119,-0.011
15.039,-31.067,-28.442,-0.851,31.257,-25.313,-0.004
15.119,-32.19,-29.58,-0.864,32.495,-26.475,-0.008
15.215,-33.543,-31.013,-0.859,33.867,-27.957,-0.006
15.391,-36.057,-33.534,-0.76,36.248,-30.569,-0.011
15.487,-36.61,-34.536,-0.758,36.686,-31.456,0.002
15.583,-36.781,-34.823,-0.751,36.876,-31.71,0.008
15.663,-36.895,-34.955,-0.734,36.933,-31.835,0.011
15.742,-36.914,-34.999,-0.73,36.933,-31.888,0.011
15.822,-36.933,-35.018,-0.72,36.914,-31.896,0.011
15.903,-36.933,-35.022,-0.72,36.933,-31.9,0.011
15.983,-36.933,-35.022,-0.722,36.914,-31.9,0.011
16.079,-36.933,-35.022,-0.724,36.914,-31.9,0.011
16.174,-36.952,-35.024,-0.726,36.914,-31.905,0.011
16.271,-36.952,-35.033,-0.72,36.933,-31.907,0.013
16.367,-36.952,-35.033,-0.73,36.933,-31.909,0.013
16.446,-36.857,-35.027,-0.728,36.819,-31.896,0.011
16.527,-36.171,-34.84,-0.728,36.114,-31.684,0.011
16.607,-35.162,-34.032,-0.713,35.086,-30.836,0.006
16.703,-33.867,-32.798,-0.688,33.752,-29.625,-0.004
16.799,-32.476,-31.403,-0.699,32.381,-28.329,-0.017
16.895,-31.143,-30.086,-0.694,30.933,-26.852,-0.028
16.99,-29.714,-28.588,-0.629,29.543,-25.444,-0.015
17.07,-28.343,-27.462,-0.62,28.362,-24.251,-0.049
17.151,-27.162,-26.24,-0.597,27.181,-23.103,-0.055
17.23,-25.981,-25.165,-0.601,25.981,-21.77,-0.087
17.327,-24.61,-24.058,-0.588,24.552,-20.451,-0.114
17.423,-23.181,-22.799,-0.536,23.143,-18.946,-0.121
17.518,-21.771,-21.393,-0.514,21.733,-17.547,-0.131
17.615,-20.4,-19.958,-0.461,20.343,-16.053,-0.152
17.71,-18.971,-18.872,-0.464,18.895,-14.649,-0.169
17.791,-17.619,-17.674,-0.453,17.714,-13.314,-0.193
17.871,-16.438,-16.927,-0.415,16.533,-12.52,-0.197
17.95,-15.314,-15.786,-0.347,15.352,-11.447,-0.231
18.031,-14.133,-15.229,-0.339,14.133,-10.425,-0.233
18.126,-12.762,-13.765,-0.286,12.705,-9.0,-0.218
18.222,-11.314,-12.501,-0.205,11.333,-7.705,-0.224
18.319,-9.981,-11.466,-0.167,10.0,-6.928,-0.212
18.398,-9.333,-10.624,-0.087,9.543,-5.997,-0.218
18.479,-9.162,-10.279,-0.087,9.371,-5.958,-0.22
18.558,-9.029,-10.111,-0.087,9.238,-5.827,-0.22
18.655,-9.01,-9.957,-0.074,9.2,-5.671,-0.224
18.751,-9.01,-9.955,-0.074,9.2,-5.668,-0.224
18.846,-9.01,-9.955,-0.074,9.2,-5.668,-0.224
18.942,-9.01,-9.955,-0.074,9.2,-5.668,-0.224
19.039,-9.01,-9.955,-0.074,9.2,-5.668,-0.224
19.135,-9.01,-9.955,-0.074,9.2,-5.668,-0.224
19.215,-9.01,-9.955,-0.074,9.2,-5.668,-0.224
19.295,-9.01,-9.955,-0.074,9.2,-5.668,-0.224
19.374,-9.029,-9.961,-0.072,9.238,-5.679,-0.224
19.455,-9.562,-10.027,-0.064,9.829,-5.766,-0.214
19.55,-10.724,-10.988,-0.08,10.99,-6.16,-0.22
19.646,-12.038,-12.247,-0.099,12.343,-7.362,-0.218
19.748,-13.41,-13.073,-0.074,13.752,-8.234,-0.231
19.839,-14.8,-14.431,-0.095,15.181,-9.343,-0.237
19.918,-16.152,-15.845,-0.18,16.362,-10.52,-0.233
19.998,-17.333,-16.224,-0.186,17.524,-11.606,-0.235
20.095,-18.686,-17.228,-0.243,18.933,-12.448,-0.229
20.191,-20.076,-18.472,-0.237,20.381,-13.928,-0.241
20.287,-21.486,-19.45,-0.269,21.752,-15.291,-0.246
20.366,-22.838,-20.629,-0.305,22.971,-16.491,-0.239
20.446,-23.981,-21.637,-0.337,24.152,-17.657,-0.226
20.542,-25.2,-22.983,-0.366,25.6,-19.035,-0.216
20.623,-26.533,-24.24,-0.366,26.8,-20.218,-0.205
20.718,-27.943,-25.578,-0.353,28.21,-21.573,-0.193
20.814,-29.333,-26.894,-0.406,29.619,-23.017,-0.182
20.894,-30.648,-28.063,-0.351,30.838,-24.115,-0.176
20.974,-31.79,-29.254,-0.282,32.057,-25.311,-0.165
21.054,-32.971,-30.446,-0.345,33.219,-26.524,-0.186
